month,sample_period,sp500_log_return,credit_spread,regime_raw,regime_label
2001-12,in_sample,0.01340909298732138,1.31,1,Bear
2002-01,in_sample,-0.004131043798136776,1.38,1,Bear
2002-02,in_sample,-0.03529337067520806,1.34,1,Bear
2002-03,in_sample,0.04713309049690965,1.33,1,Bear
2002-04,in_sample,-0.03695493158305477,1.24,1,Bear
2002-05,in_sample,-0.02983088875324135,1.33,1,Bear
2002-06,in_sample,-0.06234372661309363,1.38,1,Bear
2002-07,in_sample,-0.1153021901336192,1.23,1,Bear
2002-08,in_sample,0.00986716078715539,1.18,1,Bear
2002-09,in_sample,-0.05027008178568627,1.3,1,Bear
2002-10,in_sample,-0.01530416995426583,1.41,1,Bear
2002-11,in_sample,0.06269904673916367,1.21,1,Bear
2002-12,in_sample,-0.01188443657605377,1.22,1,Bear
2003-01,in_sample,-0.003721411298604004,1.12,1,Bear
2003-02,in_sample,-0.06790191345952076,1.09,1,Bear
2003-03,in_sample,0.01140385117901698,1.1,1,Bear
2003-04,in_sample,0.04999140670317733,1.12,1,Bear
2003-05,in_sample,0.05031757049843234,1.18,1,Bear
2003-06,in_sample,0.0541099572261787,1.19,1,Bear
2003-07,in_sample,0.004584616268365651,1.12,1,Bear
2003-08,in_sample,-0.003037231090607381,1.08,2,Recovery
2003-09,in_sample,0.02977865297839768,1.1,2,Recovery
2003-10,in_sample,0.01874535616932472,1,2,Recovery
2003-11,in_sample,0.01069610844754731,1.03,2,Recovery
2003-12,in_sample,0.02885853667630728,0.98,2,Recovery
2004-01,in_sample,0.04689178004819937,0.82,2,Recovery
2004-02,in_sample,0.009526057589642482,0.77,2,Recovery
2004-03,in_sample,-0.01709533813402244,0.78,2,Recovery
2004-04,in_sample,0.008310714370072882,0.71,2,Recovery
2004-05,in_sample,-0.02735240774060383,0.72,2,Recovery
2004-06,in_sample,0.02682286825106186,0.8,2,Recovery
2004-07,in_sample,-0.02404286256682312,0.79,2,Recovery
2004-08,in_sample,-0.01540952401836596,0.81,2,Recovery
2004-09,in_sample,0.02603246797633006,0.78,2,Recovery
2004-10,in_sample,-0.0004027079929315814,0.73,0,Bull
2004-11,in_sample,0.04526284925549622,0.69,0,Bull
2004-12,in_sample,0.02556565141095575,0.67,0,Bull
2005-01,in_sample,-0.01495436627529946,0.67,0,Bull
2005-02,in_sample,0.01530453552734769,0.6,0,Bull
