month,sample_period,sp500_log_return,term_spread,z_sp500_log_return,z_term_spread
1994-04,in_sample,-0.0364019819371107,3.19,-1.204035269670054,1.262994164503378
1994-05,in_sample,0.008172581757473259,2.91,0.06689579353472296,1.009298665179111
1994-06,in_sample,0.008678137334561589,2.85,0.08131043349621395,0.954935343895339
1994-07,in_sample,-0.007569858378164633,2.84,-0.3819601126298692,0.9458747903480436
1994-08,in_sample,0.0280477954989176,2.63,0.6335872973464646,0.7556031658548429
1994-09,in_sample,0.005841941013182613,2.71,0.0004434612273269337,0.8280875942332051
1994-10,in_sample,-0.0067686152888596,2.64,-0.3591146903313295,0.7646637194021384
1994-11,in_sample,-0.00605525087132523,2.51,-0.3387749063271269,0.6468765232872995
1994-12,in_sample,-0.01270482053009117,2.05,-0.5283705845748194,0.2300910601117171
1995-01,in_sample,0.02185998131710065,1.88,0.4571574098686031,0.07606164980769763
1995-02,in_sample,0.03520322964911405,1.53,0.8376064234676232,-0.2410577243476367
1995-03,in_sample,0.02303526222852848,1.29,0.4906675756339889,-0.4585110094827232
1995-04,in_sample,0.02949087912851354,1.22,0.6747331809993565,-0.5219348843137901
1995-05,in_sample,0.03082475661906434,0.78,0.7127653275138189,-0.9205992403947819
1995-06,in_sample,0.02923568767385776,0.53,0.6674570414277236,-1.147113079077164
1995-07,in_sample,0.03286458146475086,0.6899999999999999,0.7709257792378789,-1.00214422232044
1995-08,in_sample,0.003116941474494502,0.92,-0.07725301572906364,-0.7937514907326482
1995-09,in_sample,0.03455892827809415,0.77,0.8192357977424832,-0.9296597939420772
1995-10,in_sample,0.007144793626718282,0.6,0.03759101176008074,-1.083689204246097
1995-11,in_sample,0.02140180969469172,0.41,0.4440938036561392,-1.255839721644707
1995-12,in_sample,0.03147107090924058,0.42,0.7311933465429302,-1.246779168097412
1996-01,in_sample,-0.000244102882439898,0.5,-0.1730847036689745,-1.17429473971905
1996-02,in_sample,0.05558568666259419,0.85,1.418760687598212,-0.8571753655637151
