month,sample_period,sp500_log_return,z_sp500_log_return
2001-06,in_sample,-0.0252376810971654,-0.885713438554213
2001-07,in_sample,-0.0280474843143992,-0.965827878142302
2001-08,in_sample,-0.0217805878167198,-0.787143158234257
2001-09,in_sample,-0.120570114937862,-3.60387692590154
2001-10,in_sample,0.0301263101445591,0.692850890963935
2001-11,in_sample,0.0481357681781142,1.20634508471886
2001-12,in_sample,0.0134090929873214,0.21620168086623
2002-01,in_sample,-0.00413104379813678,-0.283911003269996
2002-02,in_sample,-0.0352933706752081,-1.17242602051565
2002-03,in_sample,0.0471330904969096,1.17775626396996
2002-04,in_sample,-0.0369549315830548,-1.21980123176076
2002-05,in_sample,-0.0298308887532414,-1.0166771498281
2002-06,in_sample,-0.0623437266130936,-1.94369857559356
2002-07,in_sample,-0.115302190133619,-3.45367535986461
2002-08,in_sample,0.00986716078715539,0.11521243310152
2002-09,in_sample,-0.0502700817856863,-1.59944909819221
2002-10,in_sample,-0.0153041699542658,-0.602484465979079
2002-11,in_sample,0.0626990467391637,1.62158017781279
2002-12,in_sample,-0.0118844365760538,-0.504979408879081
2003-01,in_sample,-0.003721411298604,-0.272231367509082
2003-02,in_sample,-0.0679019134595208,-2.10217623039736
2003-03,in_sample,0.011403851179017,0.159027277076818
2003-04,in_sample,0.0499914067031773,1.25925392886911
2003-05,in_sample,0.0503175704984323,1.26855366541668
2003-06,in_sample,0.0541099572261787,1.37668399124562
2003-07,in_sample,0.00458461626836565,-0.0354059771580466
2003-08,in_sample,-0.00303723109060738,-0.252723697504037
2003-09,in_sample,0.0297786529783977,0.682938325249377
2003-10,in_sample,0.0187453561693247,0.368351743083621
2003-11,in_sample,0.0106961084475473,0.138847781247193
2003-12,in_sample,0.0288585366763073,0.656703533629198
2004-01,in_sample,0.0468917800481994,1.17087590621159
2004-02,in_sample,0.00952605758964248,0.105486737243945
2004-03,in_sample,-0.0170953381340224,-0.653555101121454
2004-04,in_sample,0.00831071437007288,0.0708342959819342
2004-05,in_sample,-0.0273524077406038,-0.946009525796884
2004-06,in_sample,0.0268228682510619,0.598661591732548
2004-07,in_sample,-0.0240428625668231,-0.851646206948552
2004-08,in_sample,-0.015409524018366,-0.605488370932971
2004-09,in_sample,0.0260324679763301,0.576125324896485
2004-10,in_sample,-0.000402707992931581,-0.177606927668475
2004-11,in_sample,0.0452628492554962,1.12443106025769
2004-12,in_sample,0.0255656514109558,0.562815229977376
2005-01,in_sample,-0.0149543662752995,-0.592510697875193
2005-02,in_sample,0.0153045355273477,0.270245435935714
2005-03,in_sample,-0.0039506760425546,-0.278768272430485
2005-04,in_sample,-0.0258308029739846,-0.902624810310554
2005-05,in_sample,0.0118240510874754,0.171008215804
2005-06,in_sample,0.0201390531885729,0.408089492320943
2005-07,in_sample,0.0164904396352775,0.304058495309153
2005-08,in_sample,0.00165950718850842,-0.11880807209105
2005-09,in_sample,0.00134683453072613,-0.127723142939822
2005-10,in_sample,-0.0280925714970193,-0.967113425239002
2005-11,in_sample,0.0373891484043391,0.89993237390637
2005-12,in_sample,0.0197650706551747,0.397426325272388
2006-01,in_sample,0.0131141677950423,0.207792634156152
2006-02,in_sample,-0.00162793827874135,-0.212541273644005
2006-03,in_sample,0.0132977889241279,0.213028126721252
2006-04,in_sample,0.00649485508637588,0.0190596563943861
2006-05,in_sample,-0.00938213333792732,-0.433632554276459
2006-06,in_sample,-0.0289736291890398,-0.992234559277168
2006-07,in_sample,0.00562583792309727,-0.00571817238788612
2006-08,in_sample,0.0211282929235261,0.436295163984336
2006-09,in_sample,0.0234876760924347,0.503567013910102
2006-10,in_sample,0.0340487625980872,0.804689712343993
2006-11,in_sample,0.0183579402841733,0.357305557950064
2006-12,in_sample,0.0198077105471221,0.398642094058797
2007-01,in_sample,0.00544960476756468,-0.0107430155533207
2007-02,in_sample,0.0143887374520995,0.244133767643657
2007-03,in_sample,-0.0265466627824727,-0.923035744083033
2007-04,in_sample,0.039502242762899,0.960181920669805
2007-05,in_sample,0.0319378492090956,0.744502350417438
2007-06,in_sample,0.0020163096477513,-0.108634751450455
2007-07,in_sample,0.0042966885437826,-0.043615508756332
2007-08,in_sample,-0.0444326329334655,-1.4330089928669
2007-09,in_sample,0.0287985644172915,0.654993576187191
2007-10,in_sample,0.028018350283973,0.632747741437577
2007-11,in_sample,-0.0508059507866612,-1.61472804884698
2007-12,in_sample,0.010759259778661,0.140648381897939
2008-01,in_sample,-0.0703303773156563,-2.17141774158254
2008-02,in_sample,-0.0174790357361559,-0.664495268809238
2008-03,in_sample,-0.0283946451328438,-0.975726291755768
2008-04,in_sample,0.0398428830631021,0.969894418180132
2008-05,in_sample,0.0236158489700118,0.507221539677066
2008-06,in_sample,-0.0451675807071253,-1.45396417173926
2008-07,in_sample,-0.0646115899766517,-2.00836096950052
2008-08,in_sample,0.0190174314955208,0.376109283594022
2008-09,in_sample,-0.0516601279545936,-1.63908275265618
2008-10,in_sample,-0.228044815270301,-6.66824646403161
2008-11,in_sample,-0.0926876925476914,-2.80888009820695
2008-12,in_sample,-0.00622517062033102,-0.343619738656684
2009-01,in_sample,-0.0137455266060195,-0.558043688918048
2009-02,in_sample,-0.0722718515691165,-2.22677397465846
2009-03,in_sample,-0.0615929816870806,-1.92229298083438
2009-04,in_sample,0.113522537733088,3.07068361463534
2009-05,in_sample,0.0620114553009463,1.6019752451967
2009-06,in_sample,0.0259348536403195,0.57334209873414
2009-07,in_sample,0.0104193344087914,0.130956268819754
2009-08,in_sample,0.0760150970726823,2.00125370920225
2009-09,in_sample,0.0339032022805867,0.800539427658117
2009-10,in_sample,0.0218831671303824,0.457818494753861
2009-11,in_sample,0.0189361468061257,0.373791656046996
2009-12,in_sample,0.0202968144813865,0.412587656991314
2010-01,in_sample,0.0118177170799145,0.170827617581685
2010-02,in_sample,-0.0311132592188617,-1.05324070366253
2010-03,in_sample,0.056136207167735,1.43445738887629
2010-04,in_sample,0.0385427617427743,0.932824743572411
2010-05,in_sample,-0.0622493582848332,-1.94100790114096
2010-06,in_sample,-0.037769044812347,-1.24301361358378
2010-07,in_sample,-0.00329148395314859,-0.259973075492937
2010-08,in_sample,0.00690332586290532,0.0307061685590293
2010-09,in_sample,0.0315049411415084,0.732159070640693
2010-10,in_sample,0.0431691593466879,1.06473478235232
2010-11,in_sample,0.0230428635643027,0.49088430851832
2010-12,in_sample,0.034948361274036,0.830339495693867
2011-01,in_sample,0.0325603709456173,0.762251984892531
2011-02,in_sample,0.0295750007498741,0.677131696493681
2011-03,in_sample,-0.012667701894044,-0.527312240450593
2011-04,in_sample,0.0205014767774093,0.418423085269747
2011-05,in_sample,0.00509398738810953,-0.0208825466379504
2011-06,in_sample,-0.0388683905021787,-1.27435867836065
2011-07,in_sample,0.0290166119280669,0.661210650045677
2011-08,in_sample,-0.111551501633919,-3.34673395365511
2011-09,in_sample,-0.00968984221956066,-0.442406095589648
2011-10,in_sample,0.0280056940664899,0.632386881372808
2011-11,in_sample,0.0157791607381606,0.283778174650452
2011-12,in_sample,0.0136858647340082,0.22409312794111
2012-01,in_sample,0.0450250977470868,1.11765217669011
2012-02,in_sample,0.0391370191792135,0.94976849294225
2012-03,in_sample,0.0268094970276764,0.598280345080982
2012-04,in_sample,-0.00202473706166819,-0.223854988401124
2012-05,in_sample,-0.0331151716470485,-1.11032017858978
2012-06,in_sample,-0.013352295190865,-0.546831688639768
2012-07,in_sample,0.0270582908328382,0.605374071841372
2012-08,in_sample,0.0316105690057922,0.735170782315049
2012-09,in_sample,0.0280818067704158,0.634557042821538
2012-10,in_sample,-0.00388722012158368,-0.276958987169527
2012-11,in_sample,-0.0305849785226439,-1.03817811434556
2012-12,in_sample,0.0197251496150914,0.396288077677528
2013-01,in_sample,0.0400440728260348,0.975630835951081
2013-02,in_sample,0.0213259616674525,0.441931188794406
2013-03,in_sample,0.0251519882844799,0.551020671072823
2013-04,in_sample,0.0127311083850531,0.196870662904925
2013-05,in_sample,0.043077296234266,1.06211553779976
2013-06,in_sample,-0.0129320744993746,-0.534850157336942
2013-07,in_sample,0.0303662931193148,0.699693399156434
2013-08,in_sample,0.000844622471043482,-0.142042450950105
2013-09,in_sample,0.0101750518934122,0.123991170089443
2013-10,in_sample,0.0192891634482078,0.383857033676365
2013-11,in_sample,0.0362584208420753,0.867692534325451
2013-12,in_sample,0.0134994197744768,0.218777120985439
2014-01,in_sample,0.00803279124148599,0.0629100201612141
2014-02,in_sample,-0.00292356091073351,-0.249482679520066
2014-03,in_sample,0.0252583688911809,0.55405384529535
2014-04,in_sample,0.000397019142610508,-0.154804728961329
2014-05,in_sample,0.0135909370298341,0.221386504297631
2014-06,in_sample,0.0298808217385521,0.685851409309135
2014-07,in_sample,0.0132699597100768,0.212234646994912
2014-08,in_sample,-0.00588112902522856,-0.333810261815896
2014-09,in_sample,0.016031657517787,0.290977482371893
2014-10,in_sample,-0.0284766729644421,-0.978065108125119
2014-11,in_sample,0.0539077329151008,1.37091807594817
2014-12,in_sample,0.00473305525862178,-0.0311736143916962
2015-01,in_sample,-0.0127817145084351,-0.530563022089637
2015-02,in_sample,0.0262861878718335,0.583359506676881
2015-03,in_sample,-0.00106194104915356,-0.196403292671274
2015-04,in_sample,0.00712363935614136,0.036987851182226
2015-05,in_sample,0.00812023098405692,0.065403143498404
2015-06,in_sample,-0.0060077640253587,-0.337420938893009
2015-07,in_sample,-0.00245622442209785,-0.23615776030278
2015-08,in_sample,-0.0262568875667301,-0.91477353594214
