month,sample_period,sp500_log_return,credit_spread,z_sp500_log_return,z_credit_spread
2002-06,in_sample,-0.06234372661309363,1.38,-1.943698575593559,1.07814066298975
2002-07,in_sample,-0.1153021901336192,1.23,-3.453675359864607,0.701312691537853
2002-08,in_sample,0.00986716078715539,1.18,0.1152124331015195,0.575703367720554
2002-09,in_sample,-0.05027008178568627,1.3,-1.59944909819221,0.8771657448820718
2002-10,in_sample,-0.01530416995426583,1.41,-0.6024844659790795,1.153506257280129
2002-11,in_sample,0.06269904673916367,1.21,1.621580177812792,0.6510689620109333
2002-12,in_sample,-0.01188443657605377,1.22,-0.5049794088790811,0.6761908267743932
2003-01,in_sample,-0.003721411298604004,1.12,-0.2722313675090818,0.4249721791397956
2003-02,in_sample,-0.06790191345952076,1.09,-2.102176230397363,0.3496065848494161
2003-03,in_sample,0.01140385117901698,1.1,0.1590272770768184,0.3747284496128759
2003-04,in_sample,0.04999140670317733,1.12,1.259253928869113,0.4249721791397956
2003-05,in_sample,0.05031757049843234,1.18,1.268553665416679,0.575703367720554
2003-06,in_sample,0.0541099572261787,1.19,1.376683991245623,0.6008252324840138
2003-07,in_sample,0.004584616268365651,1.12,-0.03540597715804659,0.4249721791397956
2003-08,in_sample,-0.003037231090607381,1.08,-0.2527236975040366,0.3244847200859563
2003-09,in_sample,0.02977865297839768,1.1,0.6829383252493769,0.3747284496128759
2003-10,in_sample,0.01874535616932472,1,0.3683517430836208,0.1235098019782778
2003-11,in_sample,0.01069610844754731,1.03,0.1388477812471935,0.1988753962686572
2003-12,in_sample,0.02885853667630728,0.98,0.6567035336291981,0.07326607245135815
2004-01,in_sample,0.04689178004819937,0.82,1.170875906211593,-0.3286837637639987
2004-02,in_sample,0.009526057589642482,0.77,0.1054867372439445,-0.4542930875812975
2004-03,in_sample,-0.01709533813402244,0.78,-0.653555101121454,-0.4291712228178376
2004-04,in_sample,0.008310714370072882,0.71,0.0708342959819342,-0.6050242761620563
2004-05,in_sample,-0.02735240774060383,0.72,-0.9460095257968845,-0.5799024113985966
2004-06,in_sample,0.02682286825106186,0.8,0.5986615917325484,-0.378927493290918
2004-07,in_sample,-0.02404286256682312,0.79,-0.8516462069485516,-0.4040493580543779
2004-08,in_sample,-0.01540952401836596,0.81,-0.605488370932971,-0.3538056285274582
2004-09,in_sample,0.02603246797633006,0.78,0.5761253248964852,-0.4291712228178376
2004-10,in_sample,-0.0004027079929315814,0.73,-0.1776069276684749,-0.5547805466351368
2004-11,in_sample,0.04526284925549622,0.69,1.124431060257694,-0.655268005688976
2004-12,in_sample,0.02556565141095575,0.67,0.5628152299773764,-0.7055117352158954
2005-01,in_sample,-0.01495436627529946,0.67,-0.5925106978751934,-0.7055117352158954
2005-02,in_sample,0.01530453552734769,0.6,0.2702454359357137,-0.8813647885601141
2005-03,in_sample,-0.0039506760425546,0.74,-0.2787682724304845,-0.529658681871677
2005-04,in_sample,-0.02583080297398458,0.76,-0.9026248103105537,-0.4794149523447573
2005-05,in_sample,0.01182405108747544,0.88,0.1710082158039998,-0.1779525751832398
